gene_name_optimal	ensembl_gene_id	gene_name_base	gene_name_version	flag_latest_version
Plekhg2	ENSMUSG00000037552	Plekhg2	Plekhg2	True
Plekhg3	ENSMUSG00000052609	Plekhg3	Plekhg3	True
Plekhg1	ENSMUSG00000040624	Plekhg1	Plekhg1	True
Plekhg6	ENSMUSG00000038167	Plekhg6	Plekhg6	True
Plekhg4	ENSMUSG00000014782	Plekhg4	Plekhg4	True
Plekhg5	ENSMUSG00000039713	Plekhg5	Plekhg5	True
Nsa2	ENSMUSG00000060739	Nsa2	Nsa2	True
Gm45574	ENSMUSG00000110328	Gm45574	Gm45574	True
Nampt	ENSMUSG00000020572	Nampt	Nampt	True
AC160029.3	ENSMUSG00000112873	AC160029	AC160029.3	True
AC160029	ENSMUSG00000112873	AC160029	AC160029.3	True
Vmo1	ENSMUSG00000020830	Vmo1	Vmo1	True
Gm45576	ENSMUSG00000110363	Gm45576	Gm45576	True
F930015N05Rik	ENSMUSG00000095224	F930015N05Rik	F930015N05Rik	True
4931406P16Rik	ENSMUSG00000066571	4931406P16Rik	4931406P16Rik	True
Gm45577	ENSMUSG00000110137	Gm45577	Gm45577	True
Gm45242	ENSMUSG00000110378	Gm45242	Gm45242	True
Gm45240	ENSMUSG00000109910	Gm45240	Gm45240	True
Gm45241	ENSMUSG00000110078	Gm45241	Gm45241	True
Gm45246	ENSMUSG00000109645	Gm45246	Gm45246	True
Gm45247	ENSMUSG00000109937	Gm45247	Gm45247	True
Gm45244	ENSMUSG00000109807	Gm45244	Gm45244	True
Gm45245	ENSMUSG00000109912	Gm45245	Gm45245	True
Mier1	ENSMUSG00000028522	Mier1	Mier1	True
Mier2	ENSMUSG00000042570	Mier2	Mier2	True
AC135669.1	ENSMUSG00000111036	AC135669	AC135669.1	False
Prr3	ENSMUSG00000038500	Prr3	Prr3	True
C330002G04Rik	ENSMUSG00000097930	C330002G04Rik	C330002G04Rik	True
Aqp11	ENSMUSG00000042797	Aqp11	Aqp11	True
Aqp12	ENSMUSG00000045091	Aqp12	Aqp12	True
1810010H24Rik	ENSMUSG00000078607	1810010H24Rik	1810010H24Rik	True
4930544I03Rik	ENSMUSG00000097071	4930544I03Rik	4930544I03Rik	True
Zscan26	ENSMUSG00000022228	Zscan26	Zscan26	True
AC099760.1	ENSMUSG00000105098	AC099760	AC099760.1	True
Rpl31-ps12	ENSMUSG00000083192	Rpl31-ps12	Rpl31-ps12	True
Dag1	ENSMUSG00000039952	Dag1	Dag1	True
Myadm	ENSMUSG00000068566	Myadm	Myadm	True
Traj13	ENSMUSG00000076916	Traj13	Traj13	True
AI480526	ENSMUSG00000090086	AI480526	AI480526	True
Mlst8	ENSMUSG00000024142	Mlst8	Mlst8	True
