ensembl_gene_id	chromosome_name	start_position	end_position	mmusculus_homolog_ensembl_gene	mmusculus_homolog_orthology_confidence
ENSG00000138593	15	49280673	49338760	ENSMUSG00000035093	1
ENSG00000166351	21	14982498	15013906	ENSMUSG00000095294	0
ENSG00000168675	18	13217497	13652754	ENSMUSG00000024544	1
ENSG00000185272	21	15588451	15600693	ENSMUSG00000032940	1
ENSG00000155304	21	15743436	15755805	ENSMUSG00000032932	1
ENSG00000166200	15	49398268	49447858	ENSMUSG00000027206	1
ENSG00000155307	21	15857549	15955723	ENSMUSG00000022876	1
ENSG00000153575	15	22833395	22873892	ENSMUSG00000033790	1
ENSG00000180530	21	16333556	16437321	ENSMUSG00000048490	1
ENSG00000137824	15	41028082	41048049	ENSMUSG00000070730	1
ENSG00000137880	15	41056218	41059906	ENSMUSG00000046814	1
ENSG00000104129	15	41060067	41099675	ENSMUSG00000034278	1
ENSG00000177150	18	13663346	13726662	ENSMUSG00000038121	1
ENSG00000155313	21	17102344	17252377	ENSMUSG00000022867	1
ENSG00000101638	18	44259081	44339220	ENSMUSG00000025425	1
ENSG00000154639	21	18884700	18965897	ENSMUSG00000022865	1
ENSG00000101654	18	13726659	13764557	ENSMUSG00000009535	1
ENSG00000078043	18	44388353	44500123	ENSMUSG00000025423	1
ENSG00000156958	15	49447853	49660066	ENSMUSG00000027207	1
ENSG00000188277	15	41062159	41064643	ENSMUSG00000055926	1
ENSG00000158901	20	44179792	44207965	ENSMUSG00000070533	1
ENSG00000140416	15	63334831	63364114	ENSMUSG00000032366	1
ENSG00000180205	20	44236578	44259907	ENSMUSG00000074594	1
ENSG00000154642	21	19161284	19191703	ENSMUSG00000022864	1
ENSG00000140577	15	91073157	91188577	ENSMUSG00000030527	1
ENSG00000166140	15	41099284	41106767	ENSMUSG00000068580	1
ENSG00000101138	20	54967427	54979518	ENSMUSG00000027498	1
ENSG00000154645	21	19273580	19639690	ENSMUSG00000022860	1
ENSG00000180305	20	44258165	44259835	ENSMUSG00000070529	0
ENSG00000068793	15	22892005	23006016	ENSMUSG00000030447	1
ENSG00000180083	20	44277202	44298909	ENSMUSG00000078940	0
ENSG00000154646	21	19641433	19858197	ENSMUSG00000022857	1
ENSG00000168634	20	44330655	44337456	ENSMUSG00000067704	0
ENSG00000149651	20	44350990	44354469	ENSMUSG00000017310	0
ENSG00000101365	20	2639041	2644865	ENSMUSG00000027406	1
ENSG00000167216	18	44497455	44627658	ENSMUSG00000025420	1
ENSG00000124116	20	44376583	44420571	ENSMUSG00000076434	0
ENSG00000087589	20	54987168	55034396	ENSMUSG00000074570	1
ENSG00000154654	21	22370633	22915650	ENSMUSG00000022762	1
ENSG00000166143	15	41107650	41120907	ENSMUSG00000027317	0
ENSG00000166262	15	49619159	49913128	ENSMUSG00000027209	1
ENSG00000176136	18	13824154	13826861	ENSMUSG00000007480	1
ENSG00000185231	18	13882043	13915706	ENSMUSG00000045569	1
ENSG00000103642	15	63413999	63434260	ENSMUSG00000032370	1
ENSG00000197299	15	91260558	91358859	ENSMUSG00000030528	1
ENSG00000154719	21	26957968	26979829	ENSMUSG00000022889	1
ENSG00000101160	20	57570240	57582302	ENSMUSG00000016256	1
ENSG00000022277	20	55043647	55093943	ENSMUSG00000027502	1
ENSG00000166145	15	41136216	41150405	ENSMUSG00000027315	1
